S.No.,Registration No.,Type,Hired/Purchased,Last Status Date,Last Status Date -,Last Status,Customer,Status,Capacity,Cost Center,Last Trip End Date,Current Trip Start Date,Idle Time,Origin,Destination,Current Loc
35,JQ 1493,Prime Mover,purchased,$2024-01-18,2024-01-18,Decanting,PAF,,52000,2PDU,7/5/2023,0:00,196,Attock Oil Refinery Limited,PAF Base Peshawar PSH,"Islamabad, Zone 1, Rawalpindi District, Rawalpindi Division, Islamabad Capital Territory, 44000, Pakistan"
36,JQ 1494,Prime Mover,purchased,$2024-01-18,2024-01-18,Decanting,PAF,,52000,2PDU,7/5/2023,0:00,196,Attock Oil Refinery Limited,PAF Base Peshawar PSH,"Islamabad Capital Territory, 44790, Pakistan"
37,TMJ 742,Prime Mover,purchased,$2024-01-18,2024-01-18,Waiting in queue,PAF,,52000,3PDU,7/10/2023,0:00,192,PAK ARAB REFINERY LTD (PARCO),PAF Base Shahbaz SBZ,"Muzaffargarh District, Dera Ghazi Khan Division, Punjab, Pakistan"
38,TMJ 743,Prime Mover,purchased,$2024-01-18,2024-01-18,Out Going,PAF,,48000,3PDU,7/16/2023,0:00,185,PAF Base Shahbaz SBZ,PAF Base Bholari BLR,"Thatta District, Sindh, Pakistan"
39,JQ 1502,Prime Mover,purchased,$2024-01-18,2024-01-18,Waiting in queue,PAF,,52000,3PDU,7/5/2023,0:00,197,PAK ARAB REFINERY LTD (PARCO),PAF Base Shahbaz SBZ,"Kot Addu District, Dera Ghazi Khan Division, Punjab, Pakistan"
40,JQ 1496,Prime Mover,purchased,$2024-01-18,2024-01-18,Waiting in queue,Colgate,,52000,LQC,7/21/2023,0:00,181,Karachi Terminal Kemari,Kotri,"Mauripur Town, Keamari District, Karachi Division, Sindh, 75020, Pakistan"
41,JQ 1497,Prime Mover,purchased,$2024-01-17,2024-01-17,On way back,Al Syed Enterprises,,52000,LQC,7/15/2023,0:00,178,Bakri Depot,Narowal,"Naushahro Feroze District, Shaheed Benazirabad Division, Sindh, 67000, Pakistan"
42,JQ 1498,Prime Mover,purchased,$2024-01-16,2024-01-16,Maintenance,Al Imran,,52000,LQC,1/14/2024,-,4,-,-,"Karachi Division, Sindh, 75010, Pakistan"
43,TMJ 689,Prime Mover,purchased,$2024-01-18,2024-01-18,Decanting,PAF,,52000,3PDU,7/9/2023,0:00,190,PAK ARAB REFINERY LTD (PARCO),PAF Base Samugli SMG,"Qilla Saifullah District, Zhob Division, Balochistan, Pakistan"
44,TMK 564,Prime Mover,purchased,$2023-12-26,2023-12-26,Waiting for load,Al Imran,,52000,LQC,12/24/2023,-,25,Al moiz Sugar Mil unit 2 (AMSM-2),Chashma sugar mill unit2,"Kot Addu District, Dera Ghazi Khan Division, Punjab, Pakistan"
45,JQ 1520,Prime Mover,purchased,$2024-01-16,2024-01-16,Maintenance,Al Syed Enterprises,,60000,LQC,1/14/2024,-,4,-,-,"Karachi Division, Sindh, 75010, Pakistan"
